text,label
Best purchase ever,1
I hate this product,0
I love this product,1
Not recommended,0
Amazing experience,1
Very bad experience,0
Superb performance,1
Terrible service,0
Great value for money,1
Not recommended,0
Best purchase ever,1
Poor quality,0
Fantastic item,1
Very bad experience,0
Best purchase ever,1
Bad performance,0
Superb performance,1
Not recommended,0
Really satisfied,1
Very disappointing,0
Amazing experience,1
I hate this product,0
Highly recommend this,1
Terrible service,0
I love this product,1
I hate this product,0
Superb performance,1
Waste of money,0
Amazing experience,1
Very disappointing,0
Best purchase ever,1
Not satisfied at all,0
Best purchase ever,1
Not recommended,0
Highly recommend this,1
Worst purchase ever,0
Great value for money,1
Waste of money,0
Great value for money,1
Waste of money,0
Best purchase ever,1
Very bad experience,0
Highly recommend this,1
I hate this product,0
I love this product,1
Very disappointing,0
I love this product,1
Bad performance,0
Superb performance,1
Bad performance,0
Amazing experience,1
Waste of money,0
Very happy with the service,1
Not recommended,0
Very happy with the service,1
Bad performance,0
Best purchase ever,1
Terrible service,0
I love this product,1
I hate this product,0
Highly recommend this,1
Very bad experience,0
Great value for money,1
Not recommended,0
Superb performance,1
I hate this product,0
I love this product,1
Not recommended,0
Excellent quality,1
Not recommended,0
Really satisfied,1
Worst purchase ever,0
Fantastic item,1
I hate this product,0
Best purchase ever,1
Worst purchase ever,0
I love this product,1
Very disappointing,0
Excellent quality,1
I hate this product,0
Really satisfied,1
Very bad experience,0
Really satisfied,1
Waste of money,0
Great value for money,1
Bad performance,0
Excellent quality,1
Worst purchase ever,0
Amazing experience,1
Worst purchase ever,0
Highly recommend this,1
Not satisfied at all,0
Excellent quality,1
Terrible service,0
Superb performance,1
I hate this product,0
Highly recommend this,1
Very bad experience,0
Best purchase ever,1
Very disappointing,0
Really satisfied,1
I hate this product,0
Amazing experience,1
Poor quality,0
Very happy with the service,1
Bad performance,0
Really satisfied,1
Terrible service,0
Fantastic item,1
Very disappointing,0
Great value for money,1
Waste of money,0
Excellent quality,1
Worst purchase ever,0
Great value for money,1
Not recommended,0
Really satisfied,1
Not satisfied at all,0
I love this product,1
Not satisfied at all,0
Very happy with the service,1
Not recommended,0
Very happy with the service,1
Terrible service,0
Best purchase ever,1
Waste of money,0
Highly recommend this,1
Bad performance,0
Really satisfied,1
Not recommended,0
Really satisfied,1
Poor quality,0
Excellent quality,1
I hate this product,0
Great value for money,1
I hate this product,0
Really satisfied,1
Not satisfied at all,0
Great value for money,1
I hate this product,0
Really satisfied,1
Bad performance,0
Highly recommend this,1
Not satisfied at all,0
Fantastic item,1
Bad performance,0
Excellent quality,1
Not recommended,0
Very happy with the service,1
Not recommended,0
Very happy with the service,1
Not satisfied at all,0
Highly recommend this,1
Worst purchase ever,0
Very happy with the service,1
Very bad experience,0
Fantastic item,1
Very bad experience,0
I love this product,1
Very disappointing,0
Excellent quality,1
Poor quality,0
Excellent quality,1
Terrible service,0
Best purchase ever,1
Not satisfied at all,0
Amazing experience,1
Waste of money,0
Very happy with the service,1
Worst purchase ever,0
Superb performance,1
Bad performance,0
Fantastic item,1
Worst purchase ever,0
Excellent quality,1
Not recommended,0
Great value for money,1
Very disappointing,0
Amazing experience,1
Very disappointing,0
Fantastic item,1
Not recommended,0
I love this product,1
Not satisfied at all,0
Fantastic item,1
Not satisfied at all,0
Fantastic item,1
Worst purchase ever,0
Superb performance,1
Worst purchase ever,0
Fantastic item,1
Terrible service,0
Excellent quality,1
I hate this product,0
Very happy with the service,1
Very disappointing,0
Excellent quality,1
Very disappointing,0
Highly recommend this,1
Not recommended,0
Best purchase ever,1
Not satisfied at all,0
Fantastic item,1
Very disappointing,0
Highly recommend this,1
I hate this product,0
Superb performance,1
Not recommended,0
Fantastic item,1
Poor quality,0
Highly recommend this,1
Terrible service,0
Fantastic item,1
Poor quality,0
Superb performance,1
Worst purchase ever,0
Amazing experience,1
Waste of money,0
Best purchase ever,1
Not satisfied at all,0
Excellent quality,1
I hate this product,0
Amazing experience,1
I hate this product,0
Very happy with the service,1
Poor quality,0
Great value for money,1
Bad performance,0
Excellent quality,1
Not recommended,0
Excellent quality,1
Terrible service,0
Highly recommend this,1
Waste of money,0
Superb performance,1
Very bad experience,0
Really satisfied,1
Poor quality,0
Superb performance,1
Very disappointing,0
Superb performance,1
Poor quality,0
Very happy with the service,1
Worst purchase ever,0
Great value for money,1
Terrible service,0
Great value for money,1
Not satisfied at all,0
Excellent quality,1
Very bad experience,0
Excellent quality,1
Waste of money,0
Best purchase ever,1
Poor quality,0
Great value for money,1
Not satisfied at all,0
Best purchase ever,1
Bad performance,0
Fantastic item,1
Not satisfied at all,0
Excellent quality,1
Worst purchase ever,0
Great value for money,1
Waste of money,0
I love this product,1
Terrible service,0
Really satisfied,1
Not recommended,0
Superb performance,1
I hate this product,0
Fantastic item,1
Not recommended,0
Best purchase ever,1
Not recommended,0
Really satisfied,1
Terrible service,0
Very happy with the service,1
Very bad experience,0
Excellent quality,1
Very bad experience,0
I love this product,1
Waste of money,0
Superb performance,1
Waste of money,0
I love this product,1
Bad performance,0
Excellent quality,1
Waste of money,0
Best purchase ever,1
Bad performance,0
I love this product,1
Poor quality,0
Superb performance,1
Very disappointing,0
Excellent quality,1
Very bad experience,0
Highly recommend this,1
Not satisfied at all,0
Really satisfied,1
Not recommended,0
Highly recommend this,1
Not recommended,0
I love this product,1
Very bad experience,0
I love this product,1
Poor quality,0
Very happy with the service,1
Not satisfied at all,0
Superb performance,1
Waste of money,0
Fantastic item,1
Not satisfied at all,0
Very happy with the service,1
Bad performance,0
I love this product,1
Not satisfied at all,0
Great value for money,1
Not recommended,0
Amazing experience,1
Not satisfied at all,0
Amazing experience,1
Not satisfied at all,0
Great value for money,1
Not satisfied at all,0
Amazing experience,1
Not recommended,0
Superb performance,1
Very disappointing,0
Really satisfied,1
Very disappointing,0
I love this product,1
Not recommended,0
Really satisfied,1
Not recommended,0
Fantastic item,1
Not recommended,0
Highly recommend this,1
Very disappointing,0
Great value for money,1
Not recommended,0
Excellent quality,1
Bad performance,0
Excellent quality,1
I hate this product,0
Superb performance,1
Worst purchase ever,0
I love this product,1
Not recommended,0
Amazing experience,1
Not satisfied at all,0
Highly recommend this,1
Not satisfied at all,0
Excellent quality,1
Terrible service,0
Superb performance,1
Waste of money,0
Superb performance,1
Not recommended,0
Fantastic item,1
Bad performance,0
Very happy with the service,1
Very disappointing,0
Highly recommend this,1
Poor quality,0
Best purchase ever,1
Not satisfied at all,0
Superb performance,1
Not recommended,0
Best purchase ever,1
Worst purchase ever,0
Great value for money,1
I hate this product,0
Very happy with the service,1
Not recommended,0
Really satisfied,1
I hate this product,0
Excellent quality,1
Not satisfied at all,0
Great value for money,1
Not satisfied at all,0
Best purchase ever,1
Waste of money,0
Very happy with the service,1
Not satisfied at all,0
Excellent quality,1
Waste of money,0
Superb performance,1
Not satisfied at all,0
Really satisfied,1
Poor quality,0
Very happy with the service,1
Waste of money,0
Fantastic item,1
Bad performance,0
Excellent quality,1
Very disappointing,0
I love this product,1
Waste of money,0
I love this product,1
Poor quality,0
Amazing experience,1
Worst purchase ever,0
Very happy with the service,1
Terrible service,0
Really satisfied,1
Waste of money,0
Very happy with the service,1
Very bad experience,0
Great value for money,1
Very disappointing,0
Excellent quality,1
Bad performance,0
Best purchase ever,1
Very bad experience,0
Excellent quality,1
Very bad experience,0
Fantastic item,1
Bad performance,0
Best purchase ever,1
Terrible service,0
Best purchase ever,1
Worst purchase ever,0
I love this product,1
Not satisfied at all,0
Fantastic item,1
Not satisfied at all,0
Highly recommend this,1
I hate this product,0
I love this product,1
Bad performance,0
Very happy with the service,1
Poor quality,0
Great value for money,1
Waste of money,0
Highly recommend this,1
Worst purchase ever,0
Very happy with the service,1
Waste of money,0
Fantastic item,1
Very bad experience,0
Great value for money,1
Terrible service,0
Amazing experience,1
Poor quality,0
Excellent quality,1
Not recommended,0
Fantastic item,1
Very disappointing,0
Really satisfied,1
I hate this product,0
Great value for money,1
Not satisfied at all,0
I love this product,1
Worst purchase ever,0
Best purchase ever,1
Very disappointing,0
Excellent quality,1
Very bad experience,0
Excellent quality,1
Not satisfied at all,0
Really satisfied,1
Terrible service,0
Great value for money,1
Very disappointing,0
Best purchase ever,1
Worst purchase ever,0
Highly recommend this,1
Poor quality,0
Great value for money,1
Poor quality,0
Superb performance,1
Poor quality,0
I love this product,1
I hate this product,0
Really satisfied,1
Terrible service,0
I love this product,1
Not satisfied at all,0
I love this product,1
Terrible service,0
Really satisfied,1
Poor quality,0
Fantastic item,1
Very bad experience,0
I love this product,1
I hate this product,0
Great value for money,1
Bad performance,0
Highly recommend this,1
I hate this product,0
Best purchase ever,1
I hate this product,0
I love this product,1
Very disappointing,0
Best purchase ever,1
Terrible service,0
Really satisfied,1
Not recommended,0
Really satisfied,1
Poor quality,0
